deployment_level,mach,cd_increment
0.545,0.8928,0.03337888499999997
0.545,0.9029,0.03286179300000003
0.545,0.9141,0.033546995999999996
0.545,0.9268,0.033006658999999994
0.545,0.9415,0.030910439000000012
0.545,0.9587,0.027397967999999995
0.672,0.0884,0.058991689500000055
0.672,0.0893,0.060839524500000075
0.672,0.0903,0.060234990500000085
0.672,0.0914,0.06339596950000004
0.672,0.0927,0.06711337650000004
0.672,0.0941,0.07230014250000005
0.672,0.0959,0.06188390199999999
0.672,0.1767,0.06664890725
0.672,0.1786,0.06769492725000004
0.672,0.1806,0.06923860025
0.672,0.1828,0.07100286225000002
0.672,0.1854,0.0628318326666667
0.672,0.1883,0.06592494366666668
0.672,0.1917,0.06979137366666666
0.672,0.2651,0.06094664275
0.672,0.2678,0.06109643375000001
0.672,0.2709,0.06261388375000004
0.672,0.2742,0.06381447075000002
0.672,0.2781,0.059288567000000014
0.672,0.2824,0.06298649
0.672,0.2876,0.061404181
0.672,0.3535,0.06259319099999999
0.672,0.3571,0.06103052800000003
0.672,0.3611,0.06222670200000002
0.672,0.3656,0.059096342999999996
0.672,0.3707,0.061148075000000024
0.672,0.3766,0.057890957500000007
0.672,0.3835,0.06135814449999999
0.672,0.4419,0.063924129
0.672,0.4464,0.06224433950000002
0.672,0.4514,0.06351780950000002
0.672,0.457,0.060016773999999995
0.672,0.4634,0.06181221200000003
0.672,0.4707,0.05934426500000001
0.672,0.4793,0.058619541
0.672,0.5302,0.06566439399999996
